time_s,time_hr,g40_depth_m,g40_Q_m3s,g40_vel_ms,g70_depth_m,g70_Q_m3s,g70_vel_ms,g100_depth_m,g100_Q_m3s,g100_vel_ms
30.0,0.00833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.01667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,0.03333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,0.04167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,0.05833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0,0.06667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,0.08333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330.0,0.09167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390.0,0.10833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.0,0.11667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.0,0.13333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510.0,0.14167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570.0,0.15833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630.0,0.175,0.0023,0.0015,0.0224,0.0,0.0,0.0,0.0,0.0,0.0
660.0,0.18333,0.1369,2.4158,0.5884,0.0,0.0,0.0,0.0,0.0,0.0
690.0,0.19167,0.3729,13.7848,1.2323,0.0,0.0,0.0,0.0,0.0,0.0
720.0,0.2,0.5315,21.7858,1.3664,0.0,0.0,0.0,0.0,0.0,0.0
750.0,0.20833,0.6433,27.2275,1.4109,0.0,0.0,0.0,0.0,0.0,0.0
780.0,0.21667,0.7272,31.1855,1.4295,0.0,0.0,0.0,0.0,0.0,0.0
810.0,0.225,0.7929,34.2084,1.4382,0.0,0.0,0.0,0.0,0.0,0.0
840.0,0.23333,0.8457,36.5908,1.4422,0.0,0.0,0.0,0.0,0.0,0.0
