time_s,time_hr,g40_depth_m,g40_Q_m3s,g40_vel_ms,g70_depth_m,g70_Q_m3s,g70_vel_ms,g100_depth_m,g100_Q_m3s,g100_vel_ms
30.0,0.00833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.01667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,0.03333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,0.04167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,0.05833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0,0.06667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,0.08333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330.0,0.09167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390.0,0.10833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.0,0.11667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.0,0.13333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510.0,0.14167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.0,0.15,0.0026,0.0012,0.0244,0.0,0.0,0.0,0.0,0.0,0.0
570.0,0.15833,0.206,3.5373,0.8586,0.0,0.0,0.0,0.0,0.0,0.0
600.0,0.16667,0.5019,14.8541,1.4798,0.0,0.0,0.0,0.0,0.0,0.0
630.0,0.175,0.6961,22.1619,1.5918,0.0,0.0,0.0,0.0,0.0,0.0
660.0,0.18333,0.8349,27.1531,1.6262,0.0,0.0,0.0,0.0,0.0,0.0
690.0,0.19167,0.9407,30.8253,1.6385,0.0,0.0,0.0,0.0,0.0,0.0
720.0,0.2,1.0248,33.658,1.6422,0.0,0.0,0.0,0.0,0.0,0.0
750.0,0.20833,1.0935,35.9143,1.6421,0.0,0.0,0.0,0.0,0.0,0.0
780.0,0.21667,1.1509,37.7533,1.6401,0.0,0.0,0.0,0.0,0.0,0.0
810.0,0.225,1.1996,39.2789,1.6372,0.0,0.0,0.0,0.0,0.0,0.0
840.0,0.23333,1.2412,40.561,1.6339,0.0,0.0,0.0,0.0,0.0,0.0
